,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
0,SPINK1,1.2318544612059086e-86,PTPRC,9.688070945968157e-106,ELF3,8.39987776606871e-66,MT-ND3,4.865077086530715e-33,GKN2,1.6637010902646447e-79,OLFM4,5.393695503147737e-60,KRT20,2.4386813302577885e-65,ERO1B,1.1130664753561431e-55,HMGB2,4.686119352574495e-46,PGC,6.01775779895247e-52,PTPRC,6.608384594063602e-28,PCSK1N,4.0738079965568065e-28,CBLIF,2.7232682487848726e-32,MS4A1,4.330320996509396e-19,PCK1,2.4135147450084348e-14,LTC4S,4.963151609952561e-10
1,RPS24,2.253879722145682e-84,EVL,1.3943870787393282e-97,ETNK1,1.1093717689694892e-65,MT-ND4,5.718584158604736e-28,TFF1,5.043873362978132e-73,REG1A,2.0899619086737224e-55,ANPEP,5.226335314318788e-63,PCSK1N,1.146680664580511e-54,MKI67,1.1893312409411027e-42,LYZ,1.2049068907311328e-49,IL7R,2.12680362636878e-25,SST,5.8404749478981545e-27,ATP4B,2.760677872780772e-32,CD74,4.543226622727152e-19,MT-CO1,5.461423476171111e-14,TPSAB1,4.98041014357781e-10
2,RPS6,6.980250507139994e-84,CCL5,1.6685208521761926e-97,NEAT1,2.483994860016326e-62,MT-ATP6,3.852895065700167e-27,PSCA,2.8514312793092534e-68,DMBT1,1.2332731443199059e-45,FABP1,1.0638660322373043e-62,MS4A8,3.751614370481357e-54,STMN1,9.039087242606842e-36,MUC6,1.4326188733481135e-48,FYB1,6.712083960123094e-24,MS4A8,1.1498501528477165e-25,ATP4A,2.9454607485421747e-32,HLA-DQA1,4.7339243274418655e-19,CDHR5,1.600960163694422e-13,VWA5A,5.603346314205784e-10
3,CYSTM1,1.1620289253994343e-81,CD7,3.2477991481791785e-90,SULT1C2,1.881186941787486e-60,COL27A1,3.5392942890247823e-23,S100P,4.652892329460586e-68,CLDN15,8.608776573668252e-35,CLDN7,5.343060374424921e-59,CACNA1A,2.741629071293619e-48,TOP2A,6.449952337731699e-34,AQP5,9.949784130938126e-46,HLA-E,2.738063938520764e-23,MEIS2,1.928637205581484e-21,MFSD4A,3.813118123228986e-31,BANK1,5.069475800824005e-19,MT-CO3,1.6195798855466018e-13,SLC18A2,1.1034727179642165e-08
4,RPL37A,9.909928648826523e-80,VIM,3.446615569025871e-82,CAPN8,1.1476985024999926e-56,MT-ND1,7.026197279233663e-23,MUC5AC,3.3952626103111184e-67,MLEC,1.2578878064757077e-33,REG4,2.3954117192850737e-58,CHGA,4.159284498489304e-48,TUBA1B,1.720794131342303e-33,C16orf89,3.2774135837148496e-37,BTG1,5.2216293431908814e-23,CHGB,3.2141106507731385e-19,GPR155,4.739164571778082e-31,HLA-DPA1,7.03686708353806e-19,MT-ND4L,3.988509063531695e-13,ALOX5,1.2223692004647594e-08
5,RPS21,9.007289297868791e-79,ACAP1,9.533080850102825e-78,ADAM28,7.485653633427423e-56,MLPH,2.418470631813461e-21,S100A6,3.5670809215805504e-63,CCL25,1.336604939620384e-32,PHGR1,3.780370008407754e-58,CPE,8.889478975805026e-44,PRC1,2.18319554628474e-31,CLU,4.475729932736825e-37,CD3E,7.19973059024001e-23,SLC38A11,7.903692648215598e-19,CKB,9.386734533308853e-31,HLA-DRA,7.874145313336957e-19,MT-CYB,5.054309910565265e-13,SLC45A3,1.5396194031464336e-08
6,RPL36A,3.485517458947881e-77,IL2RG,1.3641645155773206e-77,NFKBIZ,1.891842513140876e-49,SULT1C2,1.741197077856513e-18,CA2,5.490147355611436e-57,CLDN3,2.05613741959222e-32,CDH17,1.0008546814821925e-56,CHGB,1.3911813697040553e-43,HMGN2,2.234004273984343e-31,FMOD,9.89371568573136e-37,IL2RG,8.794563567801856e-23,RFX6,1.166834907485094e-18,KCNE2,1.9927247046089098e-30,HLA-DRB1,1.7280337752313731e-18,MT-CO2,7.785947535374033e-13,VIM,3.115600425011956e-08
7,RPS28,4.8650118271109127e-76,CD3E,9.078533563518677e-76,CCNL1,5.39486301056809e-47,ERN2,2.90241592572602e-18,KRT8,2.3047468612767677e-56,CLDN4,4.494696923142987e-32,GCNT3,2.031422278672328e-54,ARFGEF3,6.14213990444202e-39,NUSAP1,6.597426522830911e-29,AC020656.1,1.0822980856912717e-35,TSC22D3,9.463892578909431e-23,HEPACAM2,1.8300687426453286e-17,CPA2,1.0008565416411196e-29,CD79A,9.055181019811224e-18,MT-ND5,1.0093043629896954e-12,MALAT1,5.5172824737283666e-08
8,RPL22,3.286388715317466e-74,KLRK1,1.2149397950175898e-75,MUC5AC,1.4006109631840032e-46,MT-CYB,6.908074983273158e-18,CRIP1,4.436433485332145e-56,LGALS4,6.190642391537803e-32,MST1,6.22009105751415e-54,SCG5,6.252951316872942e-37,ASPM,6.978764207932359e-29,CST3,2.5623623493398084e-35,TRAF3IP3,1.5525172215717651e-21,MAP1B,2.1488882019176305e-17,IDH2,1.138648297578575e-29,HLA-DQB1,1.3464362197150927e-17,RBP2,1.1413123390675301e-12,HDC,1.9454235096139525e-07
9,RPL31,1.7242616949754023e-73,CD96,1.7375178470928897e-74,SLC9A4,4.926836527198996e-46,PGC,4.206120555416314e-17,MUC1,2.8777490172161575e-53,PIGR,1.0954741496896206e-31,SI,1.3116886587588284e-53,RFX6,4.782175798718312e-36,CENPF,3.6153011731120003e-28,GOLM1,1.29605285699185e-28,HLA-B,3.466874052816676e-21,ERO1B,4.724983410879936e-17,ATP1B1,2.1104077830526835e-29,HLA-DPB1,1.85931672376563e-17,PRAP1,2.0264251358785922e-12,GRAP2,3.1620952483702734e-07
10,RPL36,9.922139811848873e-73,HLA-E,9.551327683068303e-74,FGD4,9.259187603492936e-44,MT-CO3,7.98075121246127e-16,MUCL3,4.933401490845617e-52,REG3A,7.077340464056987e-31,LGALS4,1.4865005456227784e-53,PAM,1.3311520939902515e-35,SMC4,6.0725469187926845e-27,MSMB,1.1596214475246946e-27,SARAF,6.283355311162811e-21,PCSK2,4.772088157012724e-17,KCNQ1,2.731564995942402e-29,HLA-DRB5,2.067617294162206e-17,ANPEP,3.2204053953386427e-12,SRGN,3.3161138234631903e-07
11,RPL12,3.572336550412248e-72,HLA-C,1.0533858798433021e-72,SYTL2,9.99304982664185e-44,MT-ATP8,1.2094334462218487e-15,FCGBP,5.598020109604769e-51,CDCA7,3.8364838627106656e-30,RBP2,3.6147710905962865e-53,MLXIPL,4.2934397008749435e-35,H2AFZ,1.119091799588553e-26,FUT9,1.9391047396631235e-26,HLA-C,9.772316318641537e-21,MLXIPL,5.974497881445225e-16,ESRRG,4.951989123510869e-28,CD37,6.690073552054586e-17,ADIRF,9.137324412211244e-12,CD82,4.3107371929508007e-07
12,RPS8,3.6332283176494775e-72,HLA-B,2.339554688267216e-72,FAR1,3.607793692302508e-43,ABCC3,3.572444444930444e-15,GSN,1.6179974440464685e-50,CDX1,1.7134069663494041e-28,CES2,3.7662286921291976e-53,PAX6,1.6769758170241252e-32,KIF22,1.1262096833246571e-26,RPL13,5.4461420460726455e-25,B2M,1.5533574501921683e-20,NCAM1,7.956932506176429e-16,SLC4A2,1.3699787504483177e-27,CYBB,1.6490238545865785e-16,MT-ATP8,9.89400857500042e-12,CAPG,2.104171369514553e-06
13,RPL37,7.301301559110414e-71,CD69,2.471098593747467e-72,AHNAK,1.2586431931244262e-42,MT-ND2,1.0008837884111261e-14,HSPB1,1.2456669849272243e-47,EPHB2,4.872828664330472e-27,SLC5A1,1.5634486208551348e-52,SCG3,4.257046034398797e-32,TUBB,1.1935844079155526e-26,NPDC1,2.511336189385656e-24,PIK3IP1,1.6810552576484505e-20,CPE,1.191013194482463e-15,LDHB,2.5721353283605384e-27,CD22,1.6967896861632522e-16,TMPRSS15,1.255155512627553e-11,P2RX1,2.1355218788957705e-06
14,RPL27A,2.3412706609649745e-70,LCP1,6.176013152836884e-67,CLDN18,2.0484254756296626e-42,CAPN8,2.420532117565362e-14,KRT19,6.151091073400711e-47,SLC39A5,2.2258758475440493e-26,ALDOB,3.079860671445064e-52,HAP1,1.3585163765042773e-29,ZWINT,1.1455084761380033e-24,RPL6,2.687515200825718e-22,SPOCK2,2.2588631112966736e-19,DEPP1,2.7760881809217252e-15,SLC25A4,3.0733819673452604e-27,LTB,6.167444119013067e-15,FABP1,1.3708357246071813e-11,KIT,3.4805067248432215e-06
15,RPL41,2.7075588426435845e-70,CELF2,1.2064338243347958e-66,SH3RF1,2.89000127772311e-42,MT-CO2,4.8019513086784456e-14,RNASE1,2.010538065145897e-46,PHGR1,2.2370065128793843e-25,SLC39A5,7.722661175880534e-52,DST,6.008573476101348e-29,DEK,3.406262952230257e-24,FTL,2.880079011699358e-22,HLA-A,3.7202552620403e-19,LY6H,3.0830887701281126e-15,PGA3,7.432994404059737e-27,NCF1,6.413235352273571e-15,APOA1,1.5197996888358974e-11,SAMSN1,3.826225206409145e-06
